pre_ID,Level,Series_ID,Rank,Points,Season
1,1,1,1,37,80
2,1,1,2,36,80
3,1,1,3,26,80
4,1,1,4,17,80
5,1,1,5,16,80
6,1,1,6,16,80
7,1,1,7,15,80
8,1,1,8,0,80
9,2,3,1,32,80
10,2,3,2,31,80
11,2,3,3,23,80
12,2,3,4,18,80
13,2,3,5,18,80
14,2,3,6,17,80
15,2,3,7,14,80
16,2,3,8,8,80
17,2,4,1,37,80
18,2,4,2,24,80
19,2,4,3,24,80
20,2,4,4,24,80
21,2,4,5,22,80
22,2,4,6,20,80
23,2,4,7,9,80
24,2,4,8,0,80
25,3,3,1,36,80
26,3,3,2,31,80
27,3,3,3,30,80
28,3,3,4,24,80
29,3,3,5,18,80
30,3,3,6,11,80
31,3,3,7,9,80
32,3,3,8,5,80
33,3,4,1,38,80
34,3,4,2,37,80
35,3,4,3,27,80
36,3,4,4,19,80
37,3,4,5,19,80
38,3,4,6,11,80
39,3,4,7,7,80
40,3,4,8,4,80
41,3,7,1,39,80
42,3,7,2,37,80
43,3,7,3,22,80
44,3,7,4,20,80
45,3,7,5,20,80
46,3,7,6,16,80
47,3,7,7,5,80
48,3,7,8,3,80
49,3,8,1,32,80
50,3,8,2,27,80
51,3,8,3,24,80
52,3,8,4,21,80
53,3,8,5,15,80
54,3,8,6,14,80
55,3,8,7,12,80
56,3,8,8,11,80
57,4,1,1,33,80
58,4,1,2,32,80
59,4,1,3,31,80
60,4,1,4,21,80
61,4,1,5,20,80
62,4,1,6,9,80
63,4,1,7,9,80
64,4,1,8,8,80
65,4,2,1,40,80
66,4,2,2,31,80
67,4,2,3,26,80
68,4,2,4,23,80
69,4,2,5,22,80
70,4,2,6,14,80
71,4,2,7,7,80
72,4,2,8,0,80
73,4,7,1,32,80
74,4,7,2,31,80
75,4,7,3,29,80
76,4,7,4,27,80
77,4,7,5,16,80
78,4,7,6,13,80
79,4,7,7,11,80
80,4,7,8,3,80
81,4,8,1,39,80
82,4,8,2,34,80
83,4,8,3,24,80
84,4,8,4,17,80
85,4,8,5,15,80
86,4,8,6,14,80
87,4,8,7,5,80
88,4,8,8,1,80
89,4,11,1,37,80
90,4,11,2,36,80
91,4,11,3,26,80
92,4,11,4,25,80
93,4,11,5,15,80
94,4,11,6,14,80
95,4,11,7,12,80
96,4,11,8,0,80
97,4,15,1,39,80
98,4,15,2,39,80
99,4,15,3,25,80
100,4,15,4,23,80
101,4,15,5,21,80
102,4,15,6,10,80
103,4,15,7,7,80
104,4,15,8,0,80
105,4,37,1,40,80
106,4,37,2,30,80
107,4,37,3,25,80
108,4,37,4,25,80
109,4,37,5,24,80
110,4,37,6,12,80
111,4,37,7,6,80
112,4,37,8,3,80
113,4,38,1,36,80
114,4,38,2,33,80
115,4,38,3,30,80
116,4,38,4,25,80
117,4,38,5,18,80
118,4,38,6,12,80
119,4,38,7,7,80
120,4,38,8,3,80
121,5,36,1,39,80
122,5,36,2,35,80
123,5,36,3,27,80
124,5,36,4,22,80
125,5,36,5,13,80
126,5,36,6,11,80
127,5,36,7,9,80
128,5,36,8,7,80
129,5,38,1,40,80
130,5,38,2,32,80
131,5,38,3,27,80
132,5,38,4,18,80
133,5,38,5,17,80
134,5,38,6,13,80
135,5,38,7,12,80
136,5,38,8,4,80
137,5,49,1,37,80
138,5,49,2,30,80
139,5,49,3,23,80
140,5,49,4,22,80
141,5,49,5,16,80
142,5,49,6,12,80
143,5,49,7,11,80
144,5,49,8,8,80
145,5,56,1,34,80
146,5,56,2,31,80
147,5,56,3,25,80
148,5,56,4,22,80
149,5,56,5,19,80
150,5,56,6,19,80
151,5,56,7,10,80
152,5,56,8,3,80
153,5,58,1,39,80
154,5,58,2,33,80
155,5,58,3,24,80
156,5,58,4,22,80
157,5,58,5,18,80
158,5,58,6,16,80
159,5,58,7,8,80
160,5,58,8,3,80
161,5,82,1,37,80
162,5,82,2,36,80
163,5,82,3,29,80
164,5,82,4,20,80
165,5,82,5,15,80
166,5,82,6,10,80
167,5,82,7,8,80
168,5,82,8,7,80
169,5,139,1,42,80
170,5,139,2,25,80
171,5,139,3,22,80
172,5,139,4,21,80
173,5,139,5,20,80
174,5,139,6,14,80
175,5,139,7,10,80
176,5,139,8,9,80
177,5,145,1,28,80
178,5,145,2,26,80
179,5,145,3,25,80
180,5,145,4,25,80
181,5,145,5,22,80
182,5,145,6,14,80
183,5,145,7,12,80
184,5,145,8,8,80
185,5,156,1,31,80
186,5,156,2,30,80
187,5,156,3,29,80
188,5,156,4,25,80
189,5,156,5,23,80
190,5,156,6,13,80
191,5,156,7,7,80
192,5,156,8,6,80
193,5,162,1,35,80
194,5,162,2,27,80
195,5,162,3,25,80
196,5,162,4,20,80
197,5,162,5,19,80
198,5,162,6,16,80
199,5,162,7,16,80
200,5,162,8,5,80
201,5,167,1,42,80
202,5,167,2,32,80
203,5,167,3,28,80
204,5,167,4,18,80
205,5,167,5,16,80
206,5,167,6,11,80
207,5,167,7,11,80
208,5,167,8,4,80
209,5,174,1,42,80
210,5,174,2,31,80
211,5,174,3,29,80
212,5,174,4,20,80
213,5,174,5,14,80
214,5,174,6,13,80
215,5,174,7,8,80
216,5,174,8,5,80
217,5,184,1,42,80
218,5,184,2,25,80
219,5,184,3,23,80
220,5,184,4,21,80
221,5,184,5,16,80
222,5,184,6,15,80
223,5,184,7,13,80
224,5,184,8,7,80
225,5,194,1,42,80
226,5,194,2,30,80
227,5,194,3,19,80
228,5,194,4,18,80
229,5,194,5,17,80
230,5,194,6,14,80
231,5,194,7,12,80
232,5,194,8,9,80
233,5,208,1,36,80
234,5,208,2,35,80
235,5,208,3,32,80
236,5,208,4,16,80
237,5,208,5,14,80
238,5,208,6,11,80
239,5,208,7,10,80
240,5,208,8,8,80
